gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
Rv0041	CCP42763	CCP42763	P9WFV1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0042c	CCP42764	CCP42764	P71699	Uniprot/SPTREMBL	NONE	100	100	-
Rv0043c	CCP42765	CCP42765	P9WMG9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0044c	CCP42766	CCP42766	P71701	Uniprot/SPTREMBL	NONE	100	100	-
Rv0045c	CCP42767	CCP42767	I6XU97	Uniprot/SPTREMBL	NONE	100	100	-
Rv0046c	CCP42768	CCP42768	P9WKI1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0047c	CCP42769	CCP42769	P71704	Uniprot/SPTREMBL	NONE	100	100	-
Rv0048c	CCP42770	CCP42770	P9WM87	Uniprot/SWISSPROT	NONE	100	100	-
Rv0049	CCP42771	CCP42771	P9WM85	Uniprot/SWISSPROT	NONE	100	100	-
Rv0050	CCP42772	CCP42772	P71707	Uniprot/SWISSPROT	NONE	100	100	-
Rv0051	CCP42773	CCP42773	P71708	Uniprot/SPTREMBL	NONE	100	100	-
Rv0052	CCP42774	CCP42774	I6Y6S3	Uniprot/SPTREMBL	NONE	100	100	-
Rv0053	CCP42775	CCP42775	P9WH31	Uniprot/SWISSPROT	NONE	100	100	-
Rv0054	CCP42776	CCP42776	P9WGD5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0055	CCP42777	CCP42777	P9WH49	Uniprot/SWISSPROT	NONE	100	100	-
Rv0056	CCP42778	CCP42778	P9WH79	Uniprot/SWISSPROT	NONE	100	100	-
Rv0057	CCP42779	CCP42779	P9WM77	Uniprot/SWISSPROT	NONE	100	100	-
Rv0058	CCP42780	CCP42780	P9WMR3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0059	CCP42781	CCP42781	O53604	Uniprot/SPTREMBL	NONE	100	100	-
Rv0060	CCP42782	CCP42782	O53605	Uniprot/SPTREMBL	NONE	100	100	-
Rv0061c	CCP42783	CCP42783	I6X8E6	Uniprot/SPTREMBL	NONE	100	100	-
Rv0062	CCP42784	CCP42784	Q79G13	Uniprot/SPTREMBL	NONE	100	100	-
Rv0063	CCP42785	CCP42785	O53608	Uniprot/SPTREMBL	NONE	100	100	-
Rv0064	CCP42786	CCP42786	P9WFL5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0064A	CCP42787	CCP42787	P0CW29	Uniprot/SWISSPROT	NONE	100	100	-
Rv0065	CCP42788	CCP42788	P9WFC1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0066c	CCP42789	CCP42789	O53611	Uniprot/SPTREMBL	NONE	100	100	-
Rv0067c	CCP42790	CCP42790	O53612	Uniprot/SPTREMBL	NONE	100	100	-
Rv0068	CCP42791	CCP42791	O53613	Uniprot/SPTREMBL	NONE	100	100	-
Rv0069c	CCP42792	CCP42792	P9WGT5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0070c	CCP42793	CCP42793	P9WGI7	Uniprot/SWISSPROT	NONE	100	100	-
Rv0071	CCP42794	CCP42794	O53616	Uniprot/SPTREMBL	NONE	100	100	-
Rv0072	CCP42795	CCP42795	P9WG17	Uniprot/SWISSPROT	NONE	100	100	-
Rv0073	CCP42796	CCP42796	P9WQK5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0074	CCP42797	CCP42797	O53619	Uniprot/SPTREMBL	NONE	100	100	-
Rv0075	CCP42798	CCP42798	O53620	Uniprot/SPTREMBL	NONE	100	100	-
Rv0076c	CCP42799	CCP42799	O53621	Uniprot/SPTREMBL	NONE	100	100	-
Rv0077c	CCP42800	CCP42800	O53622	Uniprot/SPTREMBL	NONE	100	100	-
Rv0078	CCP42801	CCP42801	O53623	Uniprot/SPTREMBL	NONE	100	100	-
Rv0078A	CCP42802	CCP42802	L7N686	Uniprot/SPTREMBL	NONE	100	100	-
Rv0078B	CCP42803	CCP42803	I6X8G2	Uniprot/SPTREMBL	NONE	100	100	-
Rv0079	CCP42804	CCP42804	P9WMA9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0080	CCP42805	CCP42805	P9WMA5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0081	CCP42806	CCP42806	P9WMI7	Uniprot/SWISSPROT	NONE	100	100	-
Rv0082	CCP42807	CCP42807	I6XUD2	Uniprot/SPTREMBL	NONE	100	100	-
Rv0083	CCP42808	CCP42808	P9WIW3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0084	CCP42809	CCP42809	Q10881	Uniprot/SPTREMBL	NONE	100	100	-
Rv0085	CCP42810	CCP42810	P9WM75	Uniprot/SWISSPROT	NONE	100	100	-
Rv0086	CCP42811	CCP42811	Q10883	Uniprot/SPTREMBL	NONE	100	100	-
Rv0087	CCP42812	CCP42812	Q10884	Uniprot/SPTREMBL	NONE	100	100	-
Rv0088	CCP42813	CCP42813	P9WM73	Uniprot/SWISSPROT	NONE	100	100	-
Rv0089	CCP42814	CCP42814	P9WK03	Uniprot/SWISSPROT	NONE	100	100	-
Rv0090	CCP42815	CCP42815	P9WM71	Uniprot/SWISSPROT	NONE	100	100	-
Rv0091	CCP42816	CCP42816	P9WJM3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0092	CCP42817	CCP42817	P9WPU1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0093c	CCP42818	CCP42818	P9WM69	Uniprot/SWISSPROT	NONE	100	100	-
Rv0094c	CCP42819	CCP42819	Q50655	Uniprot/SPTREMBL	NONE	100	100	-
Rv0095c	CCP42820	CCP42820	Q10891	Uniprot/SWISSPROT	NONE	100	100	-
Rv0096	CCP42821	CCP42821	P9WI49	Uniprot/SWISSPROT	NONE	100	100	-
Rv0097	CCP42822	CCP42822	P9WG83	Uniprot/SWISSPROT	NONE	100	100	-
Rv0098	CCP42823	CCP42823	P9WM67	Uniprot/SWISSPROT	NONE	100	100	-
Rv0099	CCP42824	CCP42824	P9WQ55	Uniprot/SWISSPROT	NONE	100	100	-
Rv0100	CCP42825	CCP42825	P9WM65	Uniprot/SWISSPROT	NONE	100	100	-
Rv0101	CCP42826	CCP42826	Q10896	Uniprot/SPTREMBL	NONE	100	100	-
Rv0102	CCP42827	CCP42827	P9WM63	Uniprot/SWISSPROT	NONE	100	100	-
Rv0103c	CCP42828	CCP42828	P9WPT9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0104	CCP42829	CCP42829	P9WM61	Uniprot/SWISSPROT	NONE	100	100	-
Rv0105c	CCP42830	CCP42830	P9WHB1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0106	CCP42831	CCP42831	P9WPI5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0107c	CCP42832	CCP42832	P9WPS5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0108c	CCP42833	CCP42833	O53630	Uniprot/SPTREMBL	NONE	100	100	-
Rv0109	CCP42834	CCP42834	L0T2H7	Uniprot/SPTREMBL	NONE	100	100	-
Rv0110	CCP42835	CCP42835	O53632	Uniprot/SPTREMBL	NONE	100	100	-
Rv0111	CCP42836	CCP42836	O53633	Uniprot/SPTREMBL	NONE	100	100	-
Rv0112	CCP42837	CCP42837	O53634	Uniprot/SPTREMBL	NONE	100	100	-
Rv0113	CCP42838	CCP42838	P9WGG1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0114	CCP42839	CCP42839	P9WMV3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0115	CCP42840	CCP42840	O53637	Uniprot/SPTREMBL	NONE	100	100	-
Rv0116c	CCP42841	CCP42841	O53638	Uniprot/SWISSPROT	NONE	100	100	-
Rv0117	CCP42842	CCP42842	L7N677	Uniprot/SPTREMBL	NONE	100	100	-
Rv0118c	CCP42843	CCP42843	O53639	Uniprot/SPTREMBL	NONE	100	100	-
Rv0119	CCP42844	CCP42844	O07169	Uniprot/SPTREMBL	NONE	100	100	-
Rv0120c	CCP42845	CCP42845	P9WNM9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0121c	CCP42846	CCP42846	O07171	Uniprot/SPTREMBL	NONE	100	100	-
Rv0122	CCP42847	CCP42847	O07172	Uniprot/SPTREMBL	NONE	100	100	-
Rv0123	CCP42848	CCP42848	O07173	Uniprot/SPTREMBL	NONE	100	100	-
Rv0124	CCP42849	CCP42849	Q79G08	Uniprot/SPTREMBL	NONE	100	100	-
Rv0125	CCP42850	CCP42850	O07175	Uniprot/SPTREMBL	NONE	100	100	-
Rv0126	CCP42851	CCP42851	P9WQ19	Uniprot/SWISSPROT	NONE	100	100	-
Rv0127	CCP42852	CCP42852	O07177	Uniprot/SWISSPROT	NONE	100	100	-
Rv0128	CCP42853	CCP42853	P96805	Uniprot/SPTREMBL	NONE	100	100	-
Rv0129c	CCP42854	CCP42854	P9WQN9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0130	CCP42855	CCP42855	P9WNP3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0131c	CCP42856	CCP42856	P96808	Uniprot/SPTREMBL	NONE	100	100	-
Rv0132c	CCP42857	CCP42857	P96809	Uniprot/SWISSPROT	NONE	100	100	-
Rv0133	CCP42858	CCP42858	P96810	Uniprot/SPTREMBL	NONE	100	100	-
Rv0134	CCP42859	CCP42859	P96811	Uniprot/SPTREMBL	NONE	100	100	-
Rv0135c	CCP42860	CCP42860	P96812	Uniprot/SPTREMBL	NONE	100	100	-
Rv0136	CCP42861	CCP42861	P9WPM3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0137c	CCP42862	CCP42862	P9WJM5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0138	CCP42863	CCP42863	P96815	Uniprot/SPTREMBL	NONE	100	100	-
Rv0139	CCP42864	CCP42864	P96816	Uniprot/SPTREMBL	NONE	100	100	-
Rv0140	CCP42865	CCP42865	P96817	Uniprot/SPTREMBL	NONE	100	100	-
Rv0141c	CCP42866	CCP42866	P96818	Uniprot/SPTREMBL	NONE	100	100	-
Rv0142	CCP42867	CCP42867	P96819	Uniprot/SPTREMBL	NONE	100	100	-
Rv0143c	CCP42868	CCP42868	P96820	Uniprot/SPTREMBL	NONE	100	100	-
Rv0144	CCP42869	CCP42869	P96821	Uniprot/SPTREMBL	NONE	100	100	-
Rv0145	CCP42870	CCP42870	P9WFJ1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0146	CCP42871	CCP42871	P9WFJ3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0147	CCP42872	CCP42872	P96824	Uniprot/SPTREMBL	NONE	100	100	-
Rv0148	CCP42873	CCP42873	P96825	Uniprot/SWISSPROT	NONE	100	100	-
Rv0149	CCP42874	CCP42874	P96826	Uniprot/SPTREMBL	NONE	100	100	-
Rv0150c	CCP42875	CCP42875	P96827	Uniprot/SPTREMBL	NONE	100	100	-
Rv0151c	CCP42876	CCP42876	Q79G06	Uniprot/SPTREMBL	NONE	100	100	-
Rv0152c	CCP42877	CCP42877	Q79G05	Uniprot/SPTREMBL	NONE	100	100	-
Rv0153c	CCP42878	CCP42878	I6WXK4	Uniprot/SPTREMBL	NONE	100	100	-
Rv0154c	CCP42879	CCP42879	P96831	Uniprot/SPTREMBL	NONE	100	100	-
Rv0155	CCP42880	CCP42880	P96832	Uniprot/SPTREMBL	NONE	100	100	-
Rv0156	CCP42881	CCP42881	P96833	Uniprot/SPTREMBL	NONE	100	100	-
Rv0157	CCP42882	CCP42882	P96834	Uniprot/SPTREMBL	NONE	100	100	-
Rv0157A	CCP42883	CCP42883	I6WXK8	Uniprot/SPTREMBL	NONE	100	100	-
Rv0158	CCP42884	CCP42884	O53641	Uniprot/SPTREMBL	NONE	100	100	-
Rv0159c	CCP42885	CCP42885	Q79G04	Uniprot/SPTREMBL	NONE	100	100	-
Rv0160c	CCP42886	CCP42886	L7N661	Uniprot/SPTREMBL	NONE	100	100	-
Rv0161	CCP42887	CCP42887	O07406	Uniprot/SPTREMBL	NONE	100	100	-
Rv0162c	CCP42888	CCP42888	L7N6B3	Uniprot/SPTREMBL	NONE	100	100	-
Rv0163	CCP42889	CCP42889	O07408	Uniprot/SPTREMBL	NONE	100	100	-
Rv0164	CCP42890	CCP42890	L7N657	Uniprot/SPTREMBL	NONE	100	100	-
Rv0165c	CCP42891	CCP42891	Q79G00	Uniprot/SPTREMBL	NONE	100	100	-
Rv0166	CCP42892	CCP42892	O07411	Uniprot/SPTREMBL	NONE	100	100	-
Rv0167	CCP42893	CCP42893	O07412	Uniprot/SPTREMBL	NONE	100	100	-
Rv0168	CCP42894	CCP42894	L0T2Q9	Uniprot/SPTREMBL	NONE	100	100	-
Rv0169	CCP42895	CCP42895	Q79FZ9	Uniprot/SPTREMBL	NONE	100	100	-
Rv0170	CCP42896	CCP42896	O07414	Uniprot/SPTREMBL	NONE	100	100	-
Rv0171	CCP42897	CCP42897	O07415	Uniprot/SPTREMBL	NONE	100	100	-
Rv0172	CCP42898	CCP42898	O07416	Uniprot/SPTREMBL	NONE	100	100	-
Rv0173	CCP42899	CCP42899	O07417	Uniprot/SPTREMBL	NONE	100	100	-
Rv0174	CCP42900	CCP42900	L0T2W6	Uniprot/SPTREMBL	NONE	100	100	-
Rv0175	CCP42901	CCP42901	O07419	Uniprot/SPTREMBL	NONE	100	100	-
Rv0176	CCP42902	CCP42902	O07420	Uniprot/SPTREMBL	NONE	100	100	-
Rv0177	CCP42903	CCP42903	O07421	Uniprot/SPTREMBL	NONE	100	100	-
Rv0178	CCP42904	CCP42904	O07422	Uniprot/SPTREMBL	NONE	100	100	-
Rv0179c	CCP42905	CCP42905	O07423	Uniprot/SPTREMBL	NONE	100	100	-
Rv0180c	CCP42906	CCP42906	O07424	Uniprot/SPTREMBL	NONE	100	100	-
Rv0181c	CCP42907	CCP42907	P9WI85	Uniprot/SWISSPROT	NONE	100	100	-
Rv0182c	CCP42908	CCP42908	P9WGG5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0183	CCP42909	CCP42909	O07427	Uniprot/SPTREMBL	NONE	100	100	-
Rv0184	CCP42910	CCP42910	O07428	Uniprot/SPTREMBL	NONE	100	100	-
Rv0185	CCP42911	CCP42911	O07429	Uniprot/SPTREMBL	NONE	100	100	-
Rv0186	CCP42912	CCP42912	O07430	Uniprot/SPTREMBL	NONE	100	100	-
Rv0186A	CCP42913	CCP42913	P9WK09	Uniprot/SWISSPROT	NONE	100	100	-
Rv0187	CCP42914	CCP42914	O07431	Uniprot/SPTREMBL	NONE	100	100	-
Rv0188	CCP42915	CCP42915	O07432	Uniprot/SPTREMBL	NONE	100	100	-
Rv0189c	CCP42916	CCP42916	P9WKJ5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0190	CCP42917	CCP42917	O07434	Uniprot/SWISSPROT	NONE	100	100	-
Rv0191	CCP42918	CCP42918	P9WJX7	Uniprot/SWISSPROT	NONE	100	100	-
Rv0192	CCP42919	CCP42919	O07436	Uniprot/SWISSPROT	NONE	100	100	-
Rv0192A	CCP42920	CCP42920	Q79FZ8	Uniprot/SPTREMBL	NONE	100	100	-
Rv0193c	CCP42921	CCP42921	O07437	Uniprot/SPTREMBL	NONE	100	100	-
Rv0194	CCP42922	CCP42922	O53645	Uniprot/SWISSPROT	NONE	100	100	-
Rv0195	CCP42923	CCP42923	O53646	Uniprot/SPTREMBL	NONE	100	100	-
Rv0196	CCP42924	CCP42924	P9WME1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0197	CCP42925	CCP42925	L0T2Z1	Uniprot/SPTREMBL	NONE	100	100	-
Rv0198c	CCP42926	CCP42926	I6X8R2	Uniprot/SPTREMBL	NONE	100	100	-
Rv0199	CCP42927	CCP42927	O53650	Uniprot/SPTREMBL	NONE	100	100	-
Rv0200	CCP42928	CCP42928	O53651	Uniprot/SPTREMBL	NONE	100	100	-
Rv0201c	CCP42929	CCP42929	O53652	Uniprot/SPTREMBL	NONE	100	100	-
Rv0202c	CCP42930	CCP42930	P9WJT9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0203	CCP42931	CCP42931	I6X8R5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0204c	CCP42932	CCP42932	I6Y748	Uniprot/SPTREMBL	NONE	100	100	-
Rv0205	CCP42933	CCP42933	P9WFM5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0206c	CCP42934	CCP42934	P9WJV5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0207c	CCP42935	CCP42935	P96389	Uniprot/SPTREMBL	NONE	100	100	-
Rv0208c	CCP42936	CCP42936	P9WFY9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0209	CCP42937	CCP42937	P96391	Uniprot/SPTREMBL	NONE	100	100	-
Rv0210	CCP42938	CCP42938	P96392	Uniprot/SPTREMBL	NONE	100	100	-
Rv0211	CCP42939	CCP42939	P9WIH3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0212c	CCP42940	CCP42940	P96394	Uniprot/SPTREMBL	NONE	100	100	-
Rv0213c	CCP42941	CCP42941	P96395	Uniprot/SPTREMBL	NONE	100	100	-
Rv0214	CCP42942	CCP42942	P96396	Uniprot/SPTREMBL	NONE	100	100	-
Rv0215c	CCP42943	CCP42943	P96397	Uniprot/SPTREMBL	NONE	100	100	-
Rv0216	CCP42944	CCP42944	I6Y340	Uniprot/SPTREMBL	NONE	100	100	-
Rv0217c	CCP42945	CCP42945	P96399	Uniprot/SPTREMBL	NONE	100	100	-
Rv0218	CCP42946	CCP42946	P96400	Uniprot/SPTREMBL	NONE	100	100	-
Rv0219	CCP42947	CCP42947	P96401	Uniprot/SPTREMBL	NONE	100	100	-
Rv0220	CCP42948	CCP42948	P96402	Uniprot/SPTREMBL	NONE	100	100	-
Rv0221	CCP42949	CCP42949	P9WKB7	Uniprot/SWISSPROT	NONE	100	100	-
Rv0222	CCP42950	CCP42950	P96404	Uniprot/SPTREMBL	NONE	100	100	-
Rv0223c	CCP42951	CCP42951	I6X8S7	Uniprot/SPTREMBL	NONE	100	100	-
Rv0224c	CCP42952	CCP42952	P9WJZ9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0225	CCP42953	CCP42953	P96407	Uniprot/SPTREMBL	NONE	100	100	-
Rv0226c	CCP42954	CCP42954	P96408	Uniprot/SPTREMBL	NONE	100	100	-
Rv0227c	CCP42955	CCP42955	P96409	Uniprot/SPTREMBL	NONE	100	100	-
Rv0228	CCP42956	CCP42956	P96410	Uniprot/SPTREMBL	NONE	100	100	-
Rv0229c	CCP42957	CCP42957	L0T5V6	Uniprot/SWISSPROT	NONE	100	100	-
Rv0230c	CCP42958	CCP42958	P9WHN9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0231	CCP42959	CCP42959	P96414	Uniprot/SPTREMBL	NONE	100	100	-
Rv0232	CCP42960	CCP42960	P96415	Uniprot/SPTREMBL	NONE	100	100	-
Rv0233	CCP42961	CCP42961	P9WH69	Uniprot/SWISSPROT	NONE	100	100	-
Rv0234c	CCP42962	CCP42962	P9WNX9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0235c	CCP42963	CCP42963	P96418	Uniprot/SPTREMBL	NONE	100	100	-
Rv0236c	CCP42964	CCP42964	P96419	Uniprot/SWISSPROT	NONE	100	100	-
Rv0236A	CCP42965	CCP42965	P9WLB1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0237	CCP42966	CCP42966	L7N6B0	Uniprot/SPTREMBL	NONE	100	100	-
Rv0238	CCP42967	CCP42967	O53661	Uniprot/SPTREMBL	NONE	100	100	-
Rv0239	CCP42968	CCP42968	P9WJ41	Uniprot/SWISSPROT	NONE	100	100	-
Rv0240	CCP42969	CCP42969	P9WF87	Uniprot/SWISSPROT	NONE	100	100	-
Rv0241c	CCP42970	CCP42970	O53664	Uniprot/SPTREMBL	NONE	100	100	-
Rv0242c	CCP42971	CCP42971	I6Y778	Uniprot/SPTREMBL	NONE	100	100	-
Rv0243	CCP42972	CCP42972	O86361	Uniprot/SPTREMBL	NONE	100	100	-
Rv0244c	CCP42973	CCP42973	O53666	Uniprot/SPTREMBL	NONE	100	100	-
Rv0245	CCP42974	CCP42974	O53667	Uniprot/SPTREMBL	NONE	100	100	-
Rv0246	CCP42975	CCP42975	O53668	Uniprot/SPTREMBL	NONE	100	100	-
Rv0247c	CCP42976	CCP42976	O53669	Uniprot/SPTREMBL	NONE	100	100	-
Rv0248c	CCP42977	CCP42977	O53670	Uniprot/SPTREMBL	NONE	100	100	-
Rv0249c	CCP42978	CCP42978	O53671	Uniprot/SPTREMBL	NONE	100	100	-
Rv0250c	CCP42979	CCP42979	O53672	Uniprot/SWISSPROT	NONE	100	100	-
Rv0251c	CCP42980	CCP42980	O53673	Uniprot/SPTREMBL	NONE	100	100	-
Rv0252	CCP42981	CCP42981	O53674	Uniprot/SPTREMBL	NONE	100	100	-
Rv0253	CCP42982	CCP42982	O53675	Uniprot/SPTREMBL	NONE	100	100	-
Rv0254c	CCP42983	CCP42983	O53676	Uniprot/SPTREMBL	NONE	100	100	-
Rv0255c	CCP42984	CCP42984	P9WP95	Uniprot/SWISSPROT	NONE	100	100	-
Rv0256c	CCP42985	CCP42985	P9WI47	Uniprot/SWISSPROT	NONE	100	100	-
Rv0257	CCP42986	CCP42986	L7N694	Uniprot/SPTREMBL	NONE	100	100	-
Rv0258c	CCP42987	CCP42987	P95215	Uniprot/SPTREMBL	NONE	100	100	-
Rv0259c	CCP42988	CCP42988	P95216	Uniprot/SPTREMBL	NONE	100	100	-
Rv0260c	CCP42989	CCP42989	P95217	Uniprot/SPTREMBL	NONE	100	100	-
Rv0261c	CCP42990	CCP42990	P95218	Uniprot/SPTREMBL	NONE	100	100	-
Rv0262c	CCP42991	CCP42991	P9WQG9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0263c	CCP42992	CCP42992	P95220	Uniprot/SPTREMBL	NONE	100	100	-
Rv0264c	CCP42993	CCP42993	P95221	Uniprot/SPTREMBL	NONE	100	100	-
Rv0265c	CCP42994	CCP42994	L7N6B2	Uniprot/SPTREMBL	NONE	100	100	-
Rv0266c	CCP42995	CCP42995	P95223	Uniprot/SPTREMBL	NONE	100	100	-
Rv0267	CCP42996	CCP42996	P95224	Uniprot/SPTREMBL	NONE	100	100	-
Rv0268c	CCP42997	CCP42997	P95225	Uniprot/SWISSPROT	NONE	100	100	-
Rv0269c	CCP42998	CCP42998	P95226	Uniprot/SPTREMBL	NONE	100	100	-
Rv0270	CCP42999	CCP42999	P95227	Uniprot/SPTREMBL	NONE	100	100	-
Rv0271c	CCP43000	CCP43000	P95228	Uniprot/SPTREMBL	NONE	100	100	-
Rv0272c	CCP43001	CCP43001	P95229	Uniprot/SPTREMBL	NONE	100	100	-
Rv0273c	CCP43002	CCP43002	O86342	Uniprot/SPTREMBL	NONE	100	100	-
Rv0274	CCP43003	CCP43003	O53680	Uniprot/SPTREMBL	NONE	100	100	-
Rv0275c	CCP43004	CCP43004	L7N6A2	Uniprot/SPTREMBL	NONE	100	100	-
Rv0276	CCP43005	CCP43005	O53682	Uniprot/SPTREMBL	NONE	100	100	-
Rv0277c	CCP43006	CCP43006	P9WF85	Uniprot/SWISSPROT	NONE	100	100	-
Rv0278c	CCP43008	CCP43008	P9WIG3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0279c	CCP43009	CCP43009	L0T4W6	Uniprot/SPTREMBL	NONE	100	100	-
Rv0280	CCP43010	CCP43010	P9WI45	Uniprot/SWISSPROT	NONE	100	100	-
Rv0281	CCP43011	CCP43011	P9WFI9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0282	CCP43012	CCP43012	P9WPI3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0283	CCP43013	CCP43013	P9WNR3	Uniprot/SWISSPROT	NONE	100	100	-
