Location	Strand	Length	PID	lenght		Gene	Synonym	COG	sanger_anot	Possible DR/phage/PEPPE?	essential?	Annotation
606551..608062	606551	608062	+	503	15607656	-	Rv0515	-	 VI	repeat13E12	nonessential	13E12 repeat family protein
622793..624577	622793	624577	+	594	57116752	PE_PGRS6	Rv0532	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
671996..675916	671996	675916	-	1306	57116755	PE_PGRS7	Rv0578c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
832534..832848	832534	832848	+	104	15607881	-	Rv0741	COG3464L	 IV.B.1	phage	nonessential	transposase
832981..833508	832981	833508	+	175	57116772	PE_PGRS8	Rv0742	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
835701..838052	835701	838052	+	783	57116773	PE_PGRS9	Rv0746	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
838451..840856	838451	840856	+	801	57116774	PE_PGRS10	Rv0747	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
846159..847913	846159	847913	+	584	57116776	PE_PGRS11	Rv0754	COG0406G	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
848103..850040	848103	850040	-	645	57116777	PPE12	Rv0755c	-	 IV.B.1	PE/PPE/PGRS	essential	PPE family protein
850342..850527	850342	850527	-	61	57116778	-	Rv0755A	COG3415L	 IV.C.1	phage	nonessential	transposase
889072..889398	889072	889398	+	108	15607935	-	Rv0795	COG2963L	 IV.B.1	phage	nonessential	transposase IS6110
889395..890333	889395	890333	+	312	15607936	-	Rv0796	COG2801L	 IV.B.1	phage	nonessential	transposase IS6110
890388..891482	890388	891482	+	364	15607937	-	Rv0797	COG3547L	 IV.B.1	phage	nonessential	IS1547 transposase
924951..925364	924951	925364	+	137	57116787	PE_PGRS12	Rv0832	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
925361..927610	925361	927610	+	749	57116788	PE_PGRS13	Rv0833	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
927837..930485	927837	930485	-	882	57116789	PE_PGRS14	Rv0834c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
947312..947644	947312	947644	+	110	15607990	-	Rv0850	COG3464L	 IV.B.1	phage	nonessential	transposase
968424..970244	968424	970244	-	606	57116793	PE_PGRS15	Rv0872c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
976872..978203	976872	978203	-	443	57116794	PPE13	Rv0878c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1020058..1021329	1020058	1021329	-	423	57116795	PPE14	Rv0915c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1021344..1021643	1021344	1021643	-	99	57116796	PE7	Rv0916c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1025497..1026816	1025497	1026816	-	439	15608060	-	Rv0920c	COG3328L	 IV.B.1	phage	nonessential	transposase
1027104..1027685	1027104	1027685	+	193	15608061	-	Rv0921	COG2452L	 IV.B.1	phage	nonessential	resolvase
1027685..1029337	1027685	1029337	+	550	15608062	-	Rv0922	COG0675L	 IV.B.1	phage	nonessential	transposase
1090373..1093144	1090373	1093144	+	923	57116805	PE_PGRS16	Rv0977	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1093361..1094356	1093361	1094356	-	331	57116806	PE_PGRS17	Rv0978c	COG3391S	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1095078..1096451	1095078	1096451	-	457	57116809	PE_PGRS18	Rv0980c	COG3391S	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1158918..1159307	1158918	1159307	-	129	15608174	-	Rv1034c	COG3039L	 IV.B.1	phage	nonessential	transposase
1159375..1160061	1159375	1160061	-	228	15608175	-	Rv1035c	-	 IV.B.1	phage	nonessential	transposase
1161297..1162472	1161297	1162472	-	391	57116813	PPE15	Rv1039c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1162549..1163376	1162549	1163376	-	275	57116814	PE8	Rv1040c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1164572..1165435	1164572	1165435	-	287	15608181	-	Rv1041c	COG3293L	 IV.B.1	phage	nonessential	IS like-2 transposase
1165092..1165499	1165092	1165499	-	135	15608182	-	Rv1042c	COG3293L	 IV.B.1	phage	nonessential	IS like-2 transposase
1169423..1170670	1169423	1170670	+	415	15608187	-	Rv1047	COG3328L	 IV.B.1	phage	nonessential	transposase
1176928..1177242	1176928	1177242	+	104	57116816	-	Rv1054	-	 IV.B.3	phage	nonessential	integrase
1188421..1190424	1188421	1190424	-	667	57116818	PE_PGRS19	Rv1067c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1190757..1192148	1190757	1192148	-	463	57116819	PE_PGRS20	Rv1068c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1211560..1213863	1211560	1213863	+	767	57116821	PE_PGRS21	Rv1087	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1214513..1214947	1214513	1214947	+	144	57116823	PE9	Rv1088	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1214769..1215131	1214769	1215131	+	120	57116824	PE10	Rv1089	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1216469..1219030	1216469	1219030	+	853	57116826	PE_PGRS22	Rv1091	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1251617..1252972	1251617	1252972	-	451	15608268	-	Rv1128c	-	 V	repeat13E12	essential	hypothetical protein
1262272..1264128	1262272	1264128	-	618	57116833	PPE16	Rv1135c	-	 IV.H	PE/PPE/PGRS	nonessential	PPE family protein
1276300..1277748	1276300	1277748	-	482	15608288	-	Rv1148c	-	 V	repeat13E12	nonessential	hypothetical protein
1277893..1278300	1277893	1278300	+	135	15608289	-	Rv1149	COG3293L	 IV.B.1	phage	nonessential	transposase
1298764..1299804	1298764	1299804	-	346	57116836	PPE17	Rv1168c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1299822..1300124	1299822	1300124	-	100	57116837	PE11	Rv1169c	-	 IV.C.1	PE/PPE/PGRS	essential	PE family protein
1301755..1302681	1301755	1302681	-	308	57116839	PE12	Rv1172c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1339003..1339302	1339003	1339302	+	99	57116840	PE13	Rv1195	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1339349..1340524	1339349	1340524	+	391	57116841	PPE18	Rv1196	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1341358..1342605	1341358	1342605	-	415	15608339	-	Rv1199c	COG3328L	 IV.B.1	phage	nonessential	transposase
1357293..1357625	1357293	1357625	-	110	57116843	PE14	Rv1214c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1384989..1386677	1384989	1386677	-	562	57116845	PE_PGRS23	Rv1243c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1468171..1469505	1468171	1469505	-	444	15608453	-	Rv1313c	COG3464L	 IV.B.1	phage	nonessential	transposase
1488154..1489965	1488154	1489965	-	603	57116848	PE_PGRS24	Rv1325c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1532443..1533633	1532443	1533633	-	396	57116852	PPE19	Rv1361c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1541994..1542878	1541994	1542878	-	294	15608509	-	Rv1369c	COG2801L	 IV.B.1	phage	nonessential	transposase
1542929..1543255	1542929	1543255	-	108	15608510	-	Rv1370c	COG2963L	 IV.B.1	phage	nonessential	transposase
1561464..1561772	1561464	1561772	+	102	57116857	PE15	Rv1386	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1561769..1563388	1561769	1563388	+	539	57116858	PPE20	Rv1387	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1572127..1573857	1572127	1573857	-	576	57116861	PE_PGRS25	Rv1396c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1606386..1607972	1606386	1607972	+	528	57116862	PE16	Rv1430	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1618209..1619684	1618209	1619684	-	491	57116864	PE_PGRS26	Rv1441c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1630638..1634627	1630638	1634627	-	1329	57116865	PE_PGRS27	Rv1450c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1636004..1638229	1636004	1638229	-	741	57116866	PE_PGRS28	Rv1452c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1655609..1656721	1655609	1656721	-	370	57116869	PE_PGRS29	Rv1468c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1751297..1753333	1751297	1753333	-	678	57116882	PPE21	Rv1548c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1779194..1779298	1779194	1779298	-	34	57116888	-	Rv1572c	-	 V	repeat13E12	nonessential	hypothetical protein
1779314..1779724	1779314	1779724	+	136	15608711	-	Rv1573	-	 IV.B.3	phage	nonessential	phiRV1 phage protein
1779930..1780241	1779930	1780241	+	103	15608712	-	Rv1574	-	 IV.B.3	phage	nonessential	phiRV1 phage related protein
1780199..1780699	1780199	1780699	+	166	57116889	-	Rv1575	-	 IV.B.3	phage	nonessential	phiRV1 phage protein
1780643..1782064	1780643	1782064	-	473	15608714	-	Rv1576c	COG4653R	 IV.B.3	phage	nonessential	phiRV1 phage protein
1782072..1782584	1782072	1782584	-	170	15608715	-	Rv1577c	COG3740R	 IV.B.3	phage	nonessential	phiRv1 phage protein
1782758..1783228	1782758	1783228	-	156	15608716	-	Rv1578c	COG3747L	 IV.B.3	phage	nonessential	phiRv1 phage protein
1783309..1783623	1783309	1783623	-	104	15608717	-	Rv1579c	-	 IV.B.3	phage	nonessential	phiRv1 phage protein
1783620..1783892	1783620	1783892	-	90	15608718	-	Rv1580c	-	 IV.B.3	phage	nonessential	phiRv1 phage protein
1783906..1784301	1783906	1784301	-	131	15608719	-	Rv1581c	-	 IV.B.3	phage	nonessential	phiRv1 phage protein
1784497..1785912	1784497	1785912	-	471	15608720	-	Rv1582c	COG3378R	 IV.B.3	phage	nonessential	phiRv1 phage protein
1785912..1786310	1785912	1786310	-	132	15608721	-	Rv1583c	-	 IV.B.3	phage	nonessential	phiRv1 phage protein
1786307..1786528	1786307	1786528	-	73	15608722	-	Rv1584c	-	 IV.B.3	phage	nonessential	phiRv1 phage protein
1786584..1787099	1786584	1787099	-	171	15608723	-	Rv1585c	-	 IV.B.3	phage	nonessential	phiRv1 phage protein
1787096..1788505	1787096	1788505	-	469	15608724	-	Rv1586c	COG1961L	 IV.B.3	phage	nonessential	phiRv1 integrase
1788162..1789163	1788162	1789163	-	333	57116890	-	Rv1587c	-	 VI	repeat13E12	nonessential	REP13E12 repeat-containing protein
1789168..1789836	1789168	1789836	-	222	15608726	-	Rv1588c	-	 VI	repeat13E12	nonessential	REP13E12 repeat-containing protein
1855764..1856696	1855764	1856696	+	310	57116896	PE17	Rv1646	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
1862347..1865382	1862347	1865382	-	1011	57116897	PE_PGRS30	Rv1651c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1931497..1932654	1931497	1932654	-	385	57116898	PPE22	Rv1705c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
1932694..1933878	1932694	1933878	-	394	57116899	PPE23	Rv1706c	-	 V	PE/PPE/PGRS	nonessential	PPE family protein
1981614..1984775	1981614	1984775	-	1053	57116904	PPE24	Rv1753c	-	 IV.C.1	PE/PPE/PGRS	essential	PPE family protein
1987745..1988629	1987745	1988629	-	294	15608894	-	Rv1756c	COG2801L	 IV.B.1	phage	nonessential	putative transposase
1988680..1989006	1988680	1989006	-	108	15608895	-	Rv1757c	COG2963L	 IV.B.1	phage	nonessential	putative transposase
1989833..1992577	1989833	1992577	-	914	57116905	wag22	Rv1759c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
1996152..1996478	1996152	1996478	+	108	15608901	-	Rv1763	COG2963L	 IV.B.1	phage	nonessential	putative transposase
1996529..1997413	1996529	1997413	+	294	15608902	-	Rv1764	COG2801L	 IV.B.1	phage	nonessential	putative transposase
1999142..1999357	1999142	1999357	-	71	57116906	-	Rv1765A	COG2801L	 V	phage	nonessential	transposase
2000614..2002470	2000614	2002470	+	618	57116908	PE_PGRS31	Rv1768	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2025301..2026398	2025301	2026398	+	365	57116909	PPE25	Rv1787	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2026477..2026776	2026477	2026776	+	99	57116910	PE18	Rv1788	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
2026790..2027971	2026790	2027971	+	393	57116911	PPE26	Rv1789	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2028425..2029477	2028425	2029477	+	350	57116912	PPE27	Rv1790	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2029904..2030203	2029904	2030203	+	99	57116913	PE19	Rv1791	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
2039453..2041420	2039453	2041420	+	655	57116915	PPE28	Rv1800	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2042001..2043272	2042001	2043272	+	423	57116916	PPE29	Rv1801	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2043384..2044775	2043384	2044775	+	463	57116917	PPE30	Rv1802	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2044923..2046842	2044923	2046842	-	639	57116918	PE_PGRS32	Rv1803c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2048072..2048371	2048072	2048371	+	99	57116919	PE20	Rv1806	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
2048398..2049597	2048398	2049597	+	399	57116920	PPE31	Rv1807	-	 IV.C.1	PE/PPE/PGRS	essential	PPE family protein
2049921..2051150	2049921	2051150	+	409	57116921	PPE32	Rv1808	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2051282..2052688	2051282	2052688	+	468	57116922	PPE33	Rv1809	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2061178..2062674	2061178	2062674	-	498	57116923	PE_PGRS33	Rv1818c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2087971..2089518	2087971	2089518	-	515	57116924	PE_PGRS34	Rv1840c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2162932..2167311	2162932	2167311	-	1459	57116928	PPE34	Rv1917c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2167649..2170612	2167649	2170612	-	987	57116929	PPE35	Rv1918c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2195989..2197353	2195989	2197353	+	454	15609082	-	Rv1945	-	 V	repeat13E12	nonessential	hypothetical protein
2226244..2227920	2226244	2227920	+	558	57116933	PE_PGRS35	Rv1983	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2260665..2261144	2260665	2261144	+	159	57116936	-	Rv2013	COG3547L	 IV.B.1	phage	essential	transposase
2261098..2261688	2261098	2261688	+	196	57116937	-	Rv2014	COG3547L	 IV.B.1	phage	nonessential	transposase
2358389..2360041	2358389	2360041	+	550	15609237	-	Rv2100	-	 V	repeat13E12	nonessential	hypothetical protein
2365465..2365791	2365465	2365791	+	108	15609242	-	Rv2105	COG2963L	 IV.B.1	phage	nonessential	transposase
2365788..2366726	2365788	2366726	+	312	15609243	-	Rv2106	COG2801L	 IV.B.1	phage	nonessential	transposase
2367359..2367655	2367359	2367655	+	98	57116945	PE22	Rv2107	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
2367711..2368442	2367711	2368442	+	243	57116946	PPE36	Rv2108	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2381071..2382492	2381071	2382492	+	473	57116948	PPE37	Rv2123	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2387202..2387972	2387202	2387972	-	256	57116949	PE_PGRS37	Rv2126c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2423240..2424838	2423240	2424838	-	532	57116953	PE_PGRS38	Rv2162c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2430159..2431199	2430159	2431199	-	346	15609304	-	Rv2167c	COG2801L	 IV.B.1	phage	nonessential	transposase
2431094..2431420	2431094	2431420	-	108	15609305	-	Rv2168c	COG2963L	 IV.B.1	phage	nonessential	transposase
2439282..2439947	2439282	2439947	-	221	15609314	-	Rv2177c	COG3547L	 IV.B.1	phage	nonessential	transposase
2550065..2550391	2550065	2550391	+	108	15609415	-	Rv2278	COG2963L	 IV.B.1	phage	nonessential	transposase
2550388..2551326	2550388	2551326	+	312	15609416	-	Rv2279	COG2801L	 IV.B.1	phage	nonessential	transposase
2600731..2601879	2600731	2601879	+	382	57116969	PE23	Rv2328	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
2617667..2618908	2617667	2618908	-	413	57116973	PE_PGRS39	Rv2340c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2632923..2634098	2632923	2634098	-	391	57116974	PPE38	Rv2352c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2634528..2635592	2634528	2635592	-	354	57116975	PPE39	Rv2353c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2635628..2635954	2635628	2635954	+	108	15609491	-	Rv2354	COG2963L	 IV.B.1	phage	nonessential	transposase
2635951..2636889	2635951	2636889	+	312	15609492	-	Rv2355	COG2801L	 IV.B.1	phage	nonessential	transposase
2637688..2639535	2637688	2639535	-	615	57116976	PPE40	Rv2356c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2651753..2651938	2651753	2651938	+	61	57116979	PE_PGRS40	Rv2371	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2692799..2693884	2692799	2693884	+	361	57116982	PE_PGRS41	Rv2396	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2706017..2706736	2706017	2706736	+	239	57116986	PE24	Rv2408	-	 VI	PE/PPE/PGRS	nonessential	PE family protein
2720776..2721777	2720776	2721777	-	333	15609561	-	Rv2424c	COG3547L	 IV.B.1	phage	nonessential	transposase
2727336..2727920	2727336	2727920	-	194	57116988	PPE41	Rv2430c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2727967..2728266	2727967	2728266	-	99	57116989	PE25	Rv2431c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
2784657..2785697	2784657	2785697	-	346	15609616	-	Rv2479c	COG2801L	 IV.B.1	phage	nonessential	transposase
2785592..2785918	2785592	2785918	-	108	15609617	-	Rv2480c	COG2963L	 IV.B.1	phage	nonessential	transposase
2795301..2797385	2795301	2797385	-	694	57116995	PE_PGRS42	Rv2487c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2801254..2806236	2801254	2806236	-	1660	57116996	PE_PGRS43	Rv2490c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2828556..2829803	2828556	2829803	-	415	15609649	-	Rv2512c	COG3328L	 IV.B.1	phage	nonessential	IS1081 transposase
2835785..2837263	2835785	2837263	+	492	57116998	PE26	Rv2519	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
2921551..2923182	2921551	2923182	+	543	57117002	PE_PGRS44	Rv2591	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2935046..2936788	2935046	2936788	+	580	57117005	PPE42	Rv2608	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
2943600..2944985	2943600	2944985	-	461	57117008	PE_PGRS45	Rv2615c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2960105..2962441	2960105	2962441	-	778	57117010	PE_PGRS46	Rv2634c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
2970551..2971549	2970551	2971549	+	332	15609783	-	Rv2646	COG0582L	 IV.B.3	phage	nonessential	integrase
2972160..2972486	2972160	2972486	+	108	15609785	-	Rv2648	COG2963L	 IV.B.1	phage	nonessential	transposase IS6110
2972435..2973421	2972435	2973421	+	328	15609786	-	Rv2649	COG2801L	 IV.B.1	phage	nonessential	transposase IS6110
2973795..2975234	2973795	2975234	-	479	15609787	-	Rv2650c	COG4653R	 IV.B.3	phage	nonessential	phiRv2 prophage protein
2975242..2975775	2975242	2975775	-	177	15609788	-	Rv2651c	COG3740R	 IV.B.3	phage	nonessential	phiRv2 prophage protease
2975928..2976554	2975928	2976554	-	208	15609789	-	Rv2652c	-	 IV.B.3	phage	nonessential	phiRv2 prophage protein
2976586..2976909	2976586	2976909	-	107	15609790	-	Rv2653c	COG1200LK	 IV.B.3	phage	nonessential	phiRv2 prophage protein
2976989..2977234	2976989	2977234	-	81	15609791	-	Rv2654c	-	 IV.B.3	phage	nonessential	phiRv2 prophage protein
2977231..2978658	2977231	2978658	-	475	15609792	-	Rv2655c	-	 IV.B.3	phage	nonessential	phiRv2 prophage protein
2978660..2979052	2978660	2979052	-	130	15609793	-	Rv2656c	-	 IV.B.3	phage	nonessential	phiRv2 prophage protein
2979049..2979309	2979049	2979309	-	86	15609794	-	Rv2657c	-	 IV.B.3	phage	nonessential	phiRv2 prophage protein
2979326..2979688	2979326	2979688	-	120	15609795	-	Rv2658c	-	 IV.B.3	phage	nonessential	prophage protein
2979691..2980818	2979691	2980818	-	375	15609796	-	Rv2659c	COG0582L	 IV.B.3	phage	nonessential	phiRv2 prophage integrase
2983071..2983874	2983071	2983874	+	267	15609803	-	Rv2666	COG3328L	 IV.B.1	phage	nonessential	truncated IS1081 transposase
3053914..3055491	3053914	3055491	+	525	57117018	PE_PGRS47	Rv2741	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3076894..3078078	3076894	3078078	-	394	57117022	PPE43	Rv2768c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3078158..3078985	3078158	3078985	-	275	57117023	PE27	Rv2769c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
3079309..3080457	3079309	3080457	-	382	57117024	PPE44	Rv2770c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3100202..3101581	3100202	3101581	-	459	15609928	-	Rv2791c	COG0675L	 IV.B.1	phage	nonessential	transposase
3115741..3116142	3115741	3116142	-	133	15609947	-	Rv2810c	COG3464L	 IV.B.1	phage	nonessential	transposase
3116818..3118227	3116818	3118227	+	469	15609949	-	Rv2812	COG2801L	 IV.B.1	phage	essential	transposase
3120566..3121504	3120566	3121504	-	312	15609951	-	Rv2814c	COG2801L	 IV.B.1	phage	nonessential	transposase
3121501..3121827	3121501	3121827	-	108	15609952	-	Rv2815c	COG2963L	 IV.B.1	phage	nonessential	transposase
3162268..3164115	3162268	3164115	+	615	57117029	PE_PGRS48	Rv2853	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3194166..3195548	3194166	3195548	-	460	15610022	-	Rv2885c	COG0675L	 IV.B.1	phage	essential	transposase
3200794..3202020	3200794	3202020	-	408	57117034	PPE45	Rv2892c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3288464..3289705	3288464	3289705	+	413	15610080	-	Rv2943	COG4584L	 IV.B.1	phage	nonessential	IS1533 transposase
